City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Grand Gaube,MU,-20.0064,57.6608,79.38,71,91,7.38,overcast clouds
218,Tongzi,CN,28.7829,105.0877,45.48,73,100,3.53,overcast clouds
219,Ornskoldsvik,SE,63.2909,18.7153,27.55,80,96,10.36,overcast clouds
220,Ribeira Grande,PT,38.5167,-28.7,59.14,70,1,12.91,clear sky
221,Cukai,MY,4.25,103.4167,80.74,93,100,1.48,moderate rain
222,Vestmannaeyjar,IS,63.4427,-20.2734,25.47,71,97,16.6,overcast clouds
223,Waingapu,ID,-9.6567,120.2641,83.79,74,100,5.84,overcast clouds
224,Baglung,NP,28.2719,83.5898,50.47,62,72,2.01,broken clouds
225,Kuito,AO,-12.3833,16.9333,57.52,89,100,2.82,overcast clouds
226,Alice Springs,AU,-23.7,133.8833,87.35,30,5,9.22,clear sky
227,Abu Kamal,SY,34.4506,40.9171,50.38,65,1,8.55,clear sky
228,Wattegama,LK,6.7989,81.4808,81.52,67,98,4.18,overcast clouds
229,Karratha,AU,-20.7377,116.8463,89.24,58,6,17.54,clear sky
230,Young,UY,-32.6833,-57.6333,70.23,55,0,8.52,clear sky
231,Esperance,AU,-33.8667,121.9,84.04,51,4,11.14,clear sky
232,Meadow Lake,US,34.8014,-106.5436,44.2,36,68,4.12,broken clouds
233,Kysyl-Syr,RU,63.8986,122.7617,-27.56,95,92,2.3,overcast clouds
234,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,64,75,4.47,broken clouds
235,San Felipe,VE,10.3399,-68.7425,68.68,96,90,3.58,overcast clouds
236,Qui Nhon,VN,13.7667,109.2333,78.15,81,42,8.68,scattered clouds
237,Petropavl,KZ,54.8753,69.1628,-7.62,77,75,13.42,broken clouds
238,Praia,CV,14.9215,-23.5087,73.94,53,0,11.5,clear sky
239,Altay,CN,47.8667,88.1167,8.78,94,100,2.28,overcast clouds
240,Rundu,NA,-17.9333,19.7667,68.54,85,85,2.95,overcast clouds
241,Nautla,MX,20.2167,-96.7833,63.97,86,97,4.88,overcast clouds
242,Phan Thiet,VN,10.9333,108.1,87.46,53,46,11.14,scattered clouds
243,Kuusamo,FI,65.9667,29.1833,24.84,93,100,12.66,overcast clouds
244,Belyy Yar,RU,53.6039,91.3903,-18.15,75,100,0.0,mist
245,Novorzhev,RU,57.0294,29.3338,35.35,88,100,13.96,overcast clouds
246,Port Hedland,AU,-20.3167,118.5667,91.45,62,75,16.11,broken clouds
247,Coihaique,CL,-45.5752,-72.0662,51.75,54,0,6.91,clear sky
248,Ngunguru,NZ,-35.6167,174.5,78.17,84,95,9.78,overcast clouds
249,General Roca,AR,-39.0333,-67.5833,79.2,14,21,11.83,few clouds
250,Niquero,CU,20.0431,-77.5828,74.8,85,6,5.84,clear sky
251,Santa Ana,US,33.7456,-117.8678,78.73,22,0,4.61,clear sky
252,Yumen,CN,40.2833,97.2,24.8,38,100,14.05,overcast clouds
253,Flinders,AU,-34.5833,150.8552,93.79,57,53,8.16,light rain
254,Marinette,US,45.1,-87.6307,28.85,64,100,11.5,overcast clouds
255,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,67.89,76,2,10.78,clear sky
256,Dukat,RU,62.55,155.55,-10.93,80,58,3.33,broken clouds
257,Kruisfontein,ZA,-34.0033,24.7314,61.41,72,0,5.79,clear sky
